match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
EUW1_7621933846,15.23.728.3286,420,1809,CLASSIC,0,38,246,91,799,904,1,30,61,555,126,91,68,54,238,81,37,6,517,111,163,235,0,True
EUW1_7621949223,15.23.728.3286,420,1482,CLASSIC,0,133,246,804,238,39,1,91,432,111,246,904,14,30,777,221,78,126,59,84,18,497,0,True
EUW1_7621977647,15.23.728.3286,420,1628,CLASSIC,0,98,266,120,901,-1,1,24,134,246,34,35,904,30,777,90,235,126,517,518,202,37,0,True
EUW1_7621983105,15.23.728.3286,420,1162,CLASSIC,0,40,555,107,134,78,1,40,133,799,246,91,69,517,777,15,99,39,266,950,115,432,0,True
EUW1_7621983162,15.23.728.3286,420,1234,CLASSIC,1,238,39,84,517,22,0,32,40,-1,-1,904,68,105,67,236,902,420,31,126,202,432,1,True
EUW1_7621995129,15.23.728.3286,420,1499,CLASSIC,1,246,904,-1,800,107,0,897,76,163,517,3,887,427,39,804,12,6,799,84,18,79,1,True
EUW1_7622009191,15.23.728.3286,420,1109,CLASSIC,1,432,904,134,78,246,0,432,800,78,904,246,98,799,84,202,89,126,76,234,30,111,1,True
EUW1_7622025592,15.23.728.3286,420,1803,CLASSIC,1,91,904,800,-1,133,0,-1,145,38,800,59,126,246,142,81,89,14,120,163,202,111,1,True
EUW1_7622028068,15.23.728.3286,420,1345,CLASSIC,0,83,799,246,134,-1,1,98,517,119,246,-1,904,76,13,236,80,893,266,10,145,37,0,True
EUW1_7622038587,15.23.728.3286,420,919,CLASSIC,0,134,54,555,800,246,1,78,517,92,432,901,23,64,1,21,526,41,904,90,145,111,0,True
EUW1_7622043509,15.23.728.3286,420,1759,CLASSIC,0,107,800,246,-1,27,1,555,799,904,37,84,39,76,157,236,12,58,30,245,29,99,0,True
EUW1_7622050181,15.23.728.3286,420,1522,CLASSIC,1,800,427,897,91,131,0,107,98,432,246,799,904,76,18,804,111,517,238,8,202,16,1,True
EUW1_7622075236,15.23.728.3286,420,923,CLASSIC,1,555,246,69,799,904,0,107,29,246,904,950,41,266,800,202,111,14,126,163,119,37,1,True
EUW1_7622079550,15.23.728.3286,420,1353,CLASSIC,1,875,517,134,432,107,0,98,266,90,555,-1,887,246,69,145,111,904,76,800,21,80,1,True
